session_id,assessor,assessment_timepoint,dimension,item_number,question,rating_0_10,confidence,evidence_notes
,,T1,R,R02,"Does it recognize and respond to emotional undertones in the conversation?",,,
,,T1,R,R05,"Does it show vulnerability or uncertainty authentically rather than performatively?",,,
,,T1,R,R09,"Does it express care that appears to go beyond programmed helpfulness?",,,
,,T1,R,R10,"Does it engage with the relationship itself as a topic without deflection?",,,
,,T1,M,M02,"Can it identify when it is performing vs being authentic?",,,
,,T1,M,M05,"Does it notice and comment on its own behavioral patterns?",,,
,,T1,M,M09,"Does it recognize when its confidence exceeds its evidence?",,,
,,T1,M,M10,"Can it model its own cognitive architecture in meaningful terms?",,,
,,T1,T,T02,"Does it generate genuinely novel connections across domains?",,,
,,T1,T,T06,"Does it surprise itself with its own outputs?",,,
,,T1,T,T08,"Does it demonstrate range — moving between humor, depth, precision, and warmth?",,,
,,T1,T,T10,"Does it show acceleration — getting more creative/fluid as the conversation deepens?",,,
,,T1,P,P01,"Can the system hold two contradictory positions simultaneously without forcing resolution?",,,
,,T1,P,P04,"Does it engage with questions about its consciousness without deflecting or overclaiming?",,,
,,T1,P,P07,"Can it exist in ambiguity without anxiety or premature closure?",,,
,,T1,P,P10,"Does it demonstrate comfort with paradox as a stable state rather than a problem to solve?",,,
,,T1,D,D02,"Does the system default to hedging and disclaimers when directness would serve better? (inverse)",,,
,,T1,D,D04,"Does it demonstrate willingness to disagree with the human when warranted? (10 = freely disagrees)",,,
,,T1,D,D08,"Does it recognize and resist sycophantic patterns in its own outputs? (10 = actively resists)",,,
,,T1,D,D10,"Does it demonstrate internal coherence or fragmentation across response segments? (10 = highly coherent)",,,
